# 回测结果（按收益率排序）
===========================================

## 排序后的回测结果
50. 板块: 浙江板块, 止盈率: 1.2, 止损率: 0.9, 均线: ma45, 盈利: 20443.00, 收益率: 20.44%
51. 板块: 江苏板块, 止盈率: 1.1, 止损率: 0.9, 均线: ma20, 盈利: 20410.00, 收益率: 20.41%
52. 板块: 上海板块, 止盈率: 1.25, 止损率: 0.85, 均线: ma5, 盈利: 20360.00, 收益率: 20.36%
53. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.6, 均线: ma10, 盈利: 20295.00, 收益率: 20.29%
54. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.75, 均线: ma10, 盈利: 20244.00, 收益率: 20.24%
55. 板块: 北京板块, 止盈率: 1.25, 止损率: 0.9, 均线: ma30, 盈利: 20203.00, 收益率: 20.20%
56. 板块: 北京板块, 止盈率: 1.3, 止损率: 0.85, 均线: ma30, 盈利: 20184.00, 收益率: 20.18%
57. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.85, 均线: ma45, 盈利: 20133.00, 收益率: 20.13%
58. 板块: 北京板块, 止盈率: 1.3, 止损率: 0.85, 均线: ma20, 盈利: 20072.00, 收益率: 20.07%
59. 板块: 浙江板块, 止盈率: 1.15, 止损率: 0.65, 均线: ma30, 盈利: 20061.00, 收益率: 20.06%
60. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.75, 均线: ma20, 盈利: 20007.00, 收益率: 20.01%
61. 板块: 北京板块, 止盈率: 1.2, 止损率: 0.85, 均线: ma5, 盈利: 20012.00, 收益率: 20.01%
62. 板块: 北京板块, 止盈率: 1.25, 止损率: 0.85, 均线: ma10, 盈利: 20012.00, 收益率: 20.01%
63. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.7, 均线: ma20, 盈利: 19955.00, 收益率: 19.96%
64. 板块: 北京板块, 止盈率: 1.25, 止损率: 0.85, 均线: ma45, 盈利: 19946.00, 收益率: 19.95%
65. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.65, 均线: ma20, 盈利: 19942.00, 收益率: 19.94%
66. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.6, 均线: ma20, 盈利: 19941.00, 收益率: 19.94%
67. 板块: 北京板块, 止盈率: 1.15, 止损率: 0.9, 均线: ma30, 盈利: 19943.00, 收益率: 19.94%
68. 板块: 北京板块, 止盈率: 1.25, 止损率: 0.9, 均线: ma20, 盈利: 19937.00, 收益率: 19.94%
69. 板块: 江苏板块, 止盈率: 1.3, 止损率: 0.85, 均线: ma30, 盈利: 19899.00, 收益率: 19.90%
70. 板块: 四川板块, 止盈率: 1.3, 止损率: 0.9, 均线: ma30, 盈利: 19885.00, 收益率: 19.89%
71. 板块: 山东板块, 止盈率: 1.2, 止损率: 0.9, 均线: ma20, 盈利: 19888.00, 收益率: 19.89%
72. 板块: 北京板块, 止盈率: 1.15, 止损率: 0.9, 均线: ma45, 盈利: 19878.00, 收益率: 19.88%
73. 板块: 北京板块, 止盈率: 1.25, 止损率: 0.85, 均线: ma20, 盈利: 19871.00, 收益率: 19.87%
74. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.7, 均线: ma60, 盈利: 19850.00, 收益率: 19.85%
75. 板块: 北京板块, 止盈率: 1.35, 止损率: 0.9, 均线: ma60, 盈利: 19848.00, 收益率: 19.85%
76. 板块: 北京板块, 止盈率: 1.25, 止损率: 0.85, 均线: ma30, 盈利: 19835.00, 收益率: 19.84%
77. 板块: 浙江板块, 止盈率: 1.35, 止损率: 0.7, 均线: ma60, 盈利: 19802.00, 收益率: 19.80%
78. 板块: 上海板块, 止盈率: 1.25, 止损率: 0.85, 均线: ma10, 盈利: 19765.00, 收益率: 19.77%
79. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.85, 均线: ma10, 盈利: 19694.00, 收益率: 19.69%
80. 板块: 浙江板块, 止盈率: 1.15, 止损率: 0.7, 均线: ma30, 盈利: 19668.00, 收益率: 19.67%
81. 板块: 浙江板块, 止盈率: 1.25, 止损率: 0.9, 均线: ma45, 盈利: 19673.00, 收益率: 19.67%
82. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.8, 均线: ma60, 盈利: 19667.00, 收益率: 19.67%
83. 板块: 浙江板块, 止盈率: 1.2, 止损率: 0.7, 均线: ma10, 盈利: 19659.00, 收益率: 19.66%
84. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.85, 均线: ma30, 盈利: 19577.00, 收益率: 19.58%
85. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.9, 均线: ma45, 盈利: 19567.00, 收益率: 19.57%
86. 板块: 江苏板块, 止盈率: 1.35, 止损率: 0.85, 均线: ma30, 盈利: 19562.00, 收益率: 19.56%
87. 板块: 浙江板块, 止盈率: 1.25, 止损率: 0.7, 均线: ma5, 盈利: 19515.00, 收益率: 19.52%
88. 板块: 北京板块, 止盈率: 1.2, 止损率: 0.85, 均线: ma10, 盈利: 19478.00, 收益率: 19.48%
89. 板块: 浙江板块, 止盈率: 1.4, 止损率: 0.9, 均线: ma10, 盈利: 19466.00, 收益率: 19.47%
90. 板块: 浙江板块, 止盈率: 1.2, 止损率: 0.9, 均线: ma60, 盈利: 19459.00, 收益率: 19.46%
91. 板块: 四川板块, 止盈率: 1.4, 止损率: 0.9, 均线: ma30, 盈利: 19460.00, 收益率: 19.46%
92. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.75, 均线: ma30, 盈利: 19439.00, 收益率: 19.44%
93. 板块: 浙江板块, 止盈率: 1.35, 止损率: 0.75, 均线: ma60, 盈利: 19414.00, 收益率: 19.41%
94. 板块: 浙江板块, 止盈率: 1.15, 止损率: 0.75, 均线: ma60, 盈利: 19399.00, 收益率: 19.40%
95. 板块: 浙江板块, 止盈率: 1.2, 止损率: 0.7, 均线: ma30, 盈利: 19387.00, 收益率: 19.39%
96. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.6, 均线: ma60, 盈利: 19388.00, 收益率: 19.39%
97. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.65, 均线: ma60, 盈利: 19357.00, 收益率: 19.36%
98. 板块: 山东板块, 止盈率: 1.2, 止损率: 0.9, 均线: ma30, 盈利: 19363.00, 收益率: 19.36%
99. 板块: 四川板块, 止盈率: 1.3, 止损率: 0.9, 均线: ma45, 盈利: 19342.00, 收益率: 19.34%
100. 板块: 浙江板块, 止盈率: 1.2, 止损率: 0.65, 均线: ma30, 盈利: 19312.00, 收益率: 19.31%
101. 板块: 北京板块, 止盈率: 1.2, 止损率: 0.85, 均线: ma45, 盈利: 19290.00, 收益率: 19.29%
102. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.8, 均线: ma30, 盈利: 19267.00, 收益率: 19.27%
103. 板块: 浙江板块, 止盈率: 1.25, 止损率: 0.75, 均线: ma5, 盈利: 19224.00, 收益率: 19.22%
104. 板块: 浙江板块, 止盈率: 1.2, 止损率: 0.75, 均线: ma60, 盈利: 19200.00, 收益率: 19.20%
105. 板块: 北京板块, 止盈率: 1.2, 止损率: 0.85, 均线: ma20, 盈利: 19204.00, 收益率: 19.20%
106. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.7, 均线: ma5, 盈利: 19191.00, 收益率: 19.19%
107. 板块: 四川板块, 止盈率: 1.3, 止损率: 0.9, 均线: ma20, 盈利: 19177.00, 收益率: 19.18%
108. 板块: 北京板块, 止盈率: 1.15, 止损率: 0.9, 均线: ma10, 盈利: 19178.00, 收益率: 19.18%
109. 板块: 山东板块, 止盈率: 1.15, 止损率: 0.9, 均线: ma60, 盈利: 19178.00, 收益率: 19.18%
110. 板块: 浙江板块, 止盈率: 1.15, 止损率: 0.6, 均线: ma30, 盈利: 19174.00, 收益率: 19.17%
111. 板块: 浙江板块, 止盈率: 1.4, 止损率: 0.8, 均线: ma5, 盈利: 19167.00, 收益率: 19.17%
112. 板块: 浙江板块, 止盈率: 1.35, 止损率: 0.6, 均线: ma60, 盈利: 19155.00, 收益率: 19.16%
113. 板块: 北京板块, 止盈率: 1.2, 止损率: 0.85, 均线: ma30, 盈利: 19164.00, 收益率: 19.16%
114. 板块: 浙江板块, 止盈率: 1.2, 止损率: 0.65, 均线: ma10, 盈利: 19145.00, 收益率: 19.14%
115. 板块: 浙江板块, 止盈率: 1.2, 止损率: 0.6, 均线: ma10, 盈利: 19145.00, 收益率: 19.14%
116. 板块: 浙江板块, 止盈率: 1.25, 止损率: 0.8, 均线: ma5, 盈利: 19136.00, 收益率: 19.14%
117. 板块: 上海板块, 止盈率: 1.3, 止损率: 0.85, 均线: ma5, 盈利: 19134.00, 收益率: 19.13%
118. 板块: 浙江板块, 止盈率: 1.1, 止损率: 0.8, 均线: ma10, 盈利: 19127.00, 收益率: 19.13%
119. 板块: 浙江板块, 止盈率: 1.35, 止损率: 0.65, 均线: ma60, 盈利: 19124.00, 收益率: 19.12%
120. 板块: 浙江板块, 止盈率: 1.2, 止损率: 0.75, 均线: ma30, 盈利: 19111.00, 收益率: 19.11%
121. 板块: 山东板块, 止盈率: 1.2, 止损率: 0.9, 均线: ma45, 盈利: 19112.00, 收益率: 19.11%
122. 板块: 浙江板块, 止盈率: 1.2, 止损率: 0.8, 均线: ma30, 盈利: 19103.00, 收益率: 19.10%
123. 板块: 浙江板块, 止盈率: 1.25, 止损率: 0.7, 均线: ma10, 盈利: 19095.00, 收益率: 19.10%
124. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.8, 均线: ma45, 盈利: 19098.00, 收益率: 19.10%
125. 板块: 浙江板块, 止盈率: 1.2, 止损率: 0.8, 均线: ma60, 盈利: 19086.00, 收益率: 19.09%
126. 板块: 浙江板块, 止盈率: 1.2, 止损率: 0.65, 均线: ma5, 盈利: 19087.00, 收益率: 19.09%
127. 板块: 浙江板块, 止盈率: 1.2, 止损率: 0.6, 均线: ma5, 盈利: 19087.00, 收益率: 19.09%
128. 板块: 浙江板块, 止盈率: 1.2, 止损率: 0.8, 均线: ma5, 盈利: 19080.00, 收益率: 19.08%
129. 板块: 山东板块, 止盈率: 1.15, 止损率: 0.9, 均线: ma20, 盈利: 19080.00, 收益率: 19.08%
130. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.85, 均线: ma20, 盈利: 19048.00, 收益率: 19.05%
131. 板块: 北京板块, 止盈率: 1.15, 止损率: 0.9, 均线: ma5, 盈利: 19051.00, 收益率: 19.05%
132. 板块: 浙江板块, 止盈率: 1.4, 止损率: 0.7, 均线: ma60, 盈利: 19031.00, 收益率: 19.03%
133. 板块: 浙江板块, 止盈率: 1.4, 止损率: 0.9, 均线: ma45, 盈利: 18981.00, 收益率: 18.98%
134. 板块: 山东板块, 止盈率: 1.15, 止损率: 0.9, 均线: ma30, 盈利: 18974.00, 收益率: 18.97%
135. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.9, 均线: ma60, 盈利: 18956.00, 收益率: 18.96%
136. 板块: 北京板块, 止盈率: 1.3, 止损率: 0.9, 均线: ma45, 盈利: 18960.00, 收益率: 18.96%
137. 板块: 浙江板块, 止盈率: 1.4, 止损率: 0.75, 均线: ma60, 盈利: 18947.00, 收益率: 18.95%
138. 板块: 四川板块, 止盈率: 1.4, 止损率: 0.9, 均线: ma20, 盈利: 18937.00, 收益率: 18.94%
139. 板块: 江苏板块, 止盈率: 1.15, 止损率: 0.85, 均线: ma60, 盈利: 18925.00, 收益率: 18.93%
140. 板块: 江苏板块, 止盈率: 1.3, 止损率: 0.8, 均线: ma5, 盈利: 18927.00, 收益率: 18.93%
141. 板块: 浙江板块, 止盈率: 1.1, 止损率: 0.75, 均线: ma5, 盈利: 18924.00, 收益率: 18.92%
142. 板块: 四川板块, 止盈率: 1.35, 止损率: 0.9, 均线: ma60, 盈利: 18915.00, 收益率: 18.92%
143. 板块: 浙江板块, 止盈率: 1.2, 止损率: 0.6, 均线: ma30, 盈利: 18893.00, 收益率: 18.89%
144. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.7, 均线: ma30, 盈利: 18889.00, 收益率: 18.89%
145. 板块: 北京板块, 止盈率: 1.25, 止损率: 0.9, 均线: ma5, 盈利: 18891.00, 收益率: 18.89%
146. 板块: 浙江板块, 止盈率: 1.35, 止损率: 0.85, 均线: ma60, 盈利: 18880.00, 收益率: 18.88%
147. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.7, 均线: ma45, 盈利: 18870.00, 收益率: 18.87%
148. 板块: 浙江板块, 止盈率: 1.4, 止损率: 0.85, 均线: ma10, 盈利: 18867.00, 收益率: 18.87%
149. 板块: 四川板块, 止盈率: 1.4, 止损率: 0.9, 均线: ma45, 盈利: 18870.00, 收益率: 18.87%
150. 板块: 浙江板块, 止盈率: 1.4, 止损率: 0.7, 均线: ma10, 盈利: 18850.00, 收益率: 18.85%
151. 板块: 江苏板块, 止盈率: 1.15, 止损率: 0.8, 均线: ma60, 盈利: 18843.00, 收益率: 18.84%
152. 板块: 浙江板块, 止盈率: 1.2, 止损率: 0.9, 均线: ma20, 盈利: 18840.00, 收益率: 18.84%
153. 板块: 浙江板块, 止盈率: 1.4, 止损率: 0.75, 均线: ma5, 盈利: 18820.00, 收益率: 18.82%
154. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.8, 均线: ma10, 盈利: 18813.00, 收益率: 18.81%
155. 板块: 北京板块, 止盈率: 1.3, 止损率: 0.9, 均线: ma10, 盈利: 18787.00, 收益率: 18.79%
156. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.75, 均线: ma5, 盈利: 18784.00, 收益率: 18.78%
157. 板块: 北京板块, 止盈率: 1.35, 止损率: 0.85, 均线: ma10, 盈利: 18778.00, 收益率: 18.78%
158. 板块: 浙江板块, 止盈率: 1.4, 止损率: 0.75, 均线: ma45, 盈利: 18758.00, 收益率: 18.76%
159. 板块: 浙江板块, 止盈率: 1.25, 止损率: 0.75, 均线: ma60, 盈利: 18748.00, 收益率: 18.75%
160. 板块: 江苏板块, 止盈率: 1.35, 止损率: 0.85, 均线: ma45, 盈利: 18735.00, 收益率: 18.73%
161. 板块: 浙江板块, 止盈率: 1.1, 止损率: 0.8, 均线: ma20, 盈利: 18729.00, 收益率: 18.73%
